percentile,latency_ns
0.0000,416
1.0000,458
2.0000,500
3.0000,500
4.0000,500
5.0000,500
6.0000,500
7.0000,500
8.0000,500
9.0000,500
10.0000,500
11.0000,500
12.0000,500
13.0000,500
14.0000,500
15.0000,500
16.0000,500
17.0000,541
18.0000,541
19.0000,541
20.0000,541
21.0000,541
22.0000,541
23.0000,541
24.0000,541
25.0000,541
26.0000,541
27.0000,541
28.0000,541
29.0000,541
30.0000,541
31.0000,541
32.0000,541
33.0000,541
34.0000,541
35.0000,541
36.0000,541
37.0000,541
38.0000,541
39.0000,541
40.0000,541
41.0000,541
42.0000,541
43.0000,541
44.0000,541
45.0000,541
46.0000,541
47.0000,541
48.0000,541
49.0000,541
50.0000,541
51.0000,541
52.0000,541
53.0000,541
54.0000,541
55.0000,541
56.0000,541
57.0000,541
58.0000,541
59.0000,541
60.0000,583
61.0000,583
62.0000,583
63.0000,583
64.0000,583
65.0000,583
66.0000,583
67.0000,583
68.0000,583
69.0000,583
70.0000,583
71.0000,583
72.0000,625
73.0000,625
74.0000,625
75.0000,666
76.0000,666
77.0000,666
78.0000,666
79.0000,666
80.0000,666
81.0000,666
82.0000,666
83.0000,666
84.0000,666
85.0000,666
86.0000,666
87.0000,708
88.0000,708
89.0000,708
90.0000,708
90.0000,708
90.1000,708
90.2000,708
90.3000,708
90.4000,708
90.5000,708
90.6000,708
90.7000,708
90.8000,708
90.9000,708
91.0000,708
91.1000,708
91.2000,708
91.3000,708
91.4000,708
91.5000,708
91.6000,708
91.7000,708
91.8000,708
91.9000,708
92.0000,708
92.1000,708
92.2000,708
92.3000,708
92.4000,708
92.5000,708
92.6000,708
92.7000,708
92.8000,708
92.9000,708
93.0000,708
93.1000,708
93.2000,708
93.3000,708
93.4000,708
93.5000,708
93.6000,708
93.7000,708
93.8000,708
93.9000,708
94.0000,708
94.1000,708
94.2000,708
94.3000,708
94.4000,708
94.5000,708
94.6000,708
94.7000,708
94.8000,708
94.9000,708
95.0000,708
95.1000,708
95.2000,708
95.3000,708
95.4000,708
95.5000,708
95.6000,708
95.7000,708
95.8000,708
95.9000,708
96.0000,708
96.1000,708
96.2000,708
96.3000,708
96.4000,708
96.5000,708
96.6000,708
96.7000,708
96.8000,708
96.9000,750
97.0000,750
97.1000,750
97.2000,750
97.3000,750
97.4000,750
97.5000,750
97.6000,750
97.7000,750
97.8000,750
97.9000,750
98.0000,750
98.1000,750
98.2000,750
98.3000,750
98.4000,750
98.5000,750
98.6000,750
98.7000,750
98.8000,750
98.9000,750
99.0000,750
99.0000,750
99.0100,750
99.0200,750
99.0300,750
99.0400,750
99.0500,750
99.0600,750
99.0700,750
99.0800,750
99.0900,750
99.1000,750
99.1100,750
99.1200,750
99.1300,750
99.1400,750
99.1500,750
99.1600,750
99.1700,791
99.1800,791
99.1900,791
99.2000,791
99.2100,791
99.2200,791
99.2300,791
99.2400,791
99.2500,791
99.2600,791
99.2700,791
99.2800,791
99.2900,791
99.3000,791
99.3100,791
99.3200,791
99.3300,791
99.3400,791
99.3500,791
99.3600,791
99.3700,791
99.3800,791
99.3900,791
99.4000,791
99.4100,791
99.4200,791
99.4300,791
99.4400,791
99.4500,791
99.4600,791
99.4700,791
99.4800,791
99.4900,791
99.5000,791
99.5100,791
99.5200,791
99.5300,791
99.5400,791
99.5500,791
99.5600,791
99.5700,791
99.5800,791
99.5900,791
99.6000,791
99.6100,791
99.6200,791
99.6300,791
99.6400,791
99.6500,791
99.6600,791
99.6700,791
99.6800,791
99.6900,791
99.7000,791
99.7100,791
99.7200,791
99.7300,791
99.7400,791
99.7500,791
99.7600,791
99.7700,791
99.7800,791
99.7900,791
99.8000,791
99.8100,833
99.8200,833
99.8300,833
99.8400,833
99.8500,833
99.8600,875
99.8700,1000
99.8800,1250
99.8900,1541
99.9000,2083
99.9000,2083
99.9010,2083
99.9020,2166
99.9030,2166
99.9040,2250
99.9050,2250
99.9060,2875
99.9070,2875
99.9080,3000
99.9090,3000
99.9100,3000
99.9110,3000
99.9120,3083
99.9130,3083
99.9140,3583
99.9150,3583
99.9160,3833
99.9170,3833
99.9180,3916
99.9190,3916
99.9200,4708
99.9210,4708
99.9220,4708
99.9230,4708
99.9240,4750
99.9250,4750
99.9260,4791
99.9270,4791
99.9280,4875
99.9290,4875
99.9300,4875
99.9310,4875
99.9320,4875
99.9330,4875
99.9340,5375
99.9350,5375
99.9360,5375
99.9370,5375
99.9380,5458
99.9390,5458
99.9400,5541
99.9410,5541
99.9420,5708
99.9430,5708
99.9440,5916
99.9450,5916
99.9460,6625
99.9470,6625
99.9480,6750
99.9490,6750
99.9500,7041
99.9510,7041
99.9520,7083
99.9530,7083
99.9540,7291
99.9550,7291
99.9560,7416
99.9570,7416
99.9580,7416
99.9590,7416
99.9600,7583
99.9610,7583
99.9620,7708
99.9630,7708
99.9640,7791
99.9650,7791
99.9660,7833
99.9670,7833
99.9680,7958
99.9690,7958
99.9700,7958
99.9710,7958
99.9720,8083
99.9730,8083
99.9740,8208
99.9750,8208
99.9760,8250
99.9770,8250
99.9780,8416
99.9790,8416
99.9800,8541
99.9810,8541
99.9820,9125
99.9830,9125
99.9840,9750
99.9850,9750
99.9860,10041
99.9870,10041
99.9880,11375
99.9890,11375
99.9900,11416
99.9990,15208
100.0000,30958
