percentile,latency_ns
0.0000,666
1.0000,708
2.0000,708
3.0000,708
4.0000,708
5.0000,708
6.0000,708
7.0000,750
8.0000,750
9.0000,750
10.0000,750
11.0000,750
12.0000,750
13.0000,750
14.0000,750
15.0000,750
16.0000,750
17.0000,750
18.0000,750
19.0000,750
20.0000,750
21.0000,750
22.0000,750
23.0000,750
24.0000,750
25.0000,750
26.0000,750
27.0000,750
28.0000,750
29.0000,791
30.0000,791
31.0000,791
32.0000,791
33.0000,791
34.0000,791
35.0000,791
36.0000,791
37.0000,791
38.0000,791
39.0000,791
40.0000,791
41.0000,791
42.0000,791
43.0000,791
44.0000,791
45.0000,791
46.0000,791
47.0000,791
48.0000,791
49.0000,791
50.0000,791
51.0000,791
52.0000,791
53.0000,791
54.0000,791
55.0000,791
56.0000,791
57.0000,791
58.0000,791
59.0000,791
60.0000,791
61.0000,791
62.0000,791
63.0000,791
64.0000,791
65.0000,791
66.0000,791
67.0000,791
68.0000,791
69.0000,791
70.0000,791
71.0000,791
72.0000,791
73.0000,791
74.0000,791
75.0000,791
76.0000,791
77.0000,791
78.0000,791
79.0000,791
80.0000,791
81.0000,791
82.0000,791
83.0000,791
84.0000,791
85.0000,791
86.0000,791
87.0000,833
88.0000,833
89.0000,833
90.0000,833
90.0000,833
90.1000,833
90.2000,833
90.3000,833
90.4000,833
90.5000,833
90.6000,833
90.7000,833
90.8000,833
90.9000,833
91.0000,833
91.1000,833
91.2000,833
91.3000,833
91.4000,833
91.5000,833
91.6000,833
91.7000,833
91.8000,833
91.9000,833
92.0000,833
92.1000,833
92.2000,833
92.3000,833
92.4000,833
92.5000,833
92.6000,833
92.7000,833
92.8000,833
92.9000,833
93.0000,833
93.1000,833
93.2000,833
93.3000,833
93.4000,833
93.5000,833
93.6000,833
93.7000,833
93.8000,833
93.9000,833
94.0000,833
94.1000,833
94.2000,833
94.3000,833
94.4000,833
94.5000,833
94.6000,833
94.7000,833
94.8000,833
94.9000,833
95.0000,833
95.1000,875
95.2000,875
95.3000,875
95.4000,875
95.5000,875
95.6000,916
95.7000,916
95.8000,916
95.9000,916
96.0000,916
96.1000,916
96.2000,916
96.3000,916
96.4000,958
96.5000,958
96.6000,958
96.7000,958
96.8000,1000
96.9000,1000
97.0000,1000
97.1000,1000
97.2000,1000
97.3000,1000
97.4000,1000
97.5000,1000
97.6000,1000
97.7000,1000
97.8000,1000
97.9000,1000
98.0000,1000
98.1000,1000
98.2000,1000
98.3000,1000
98.4000,1041
98.5000,1041
98.6000,1041
98.7000,1041
98.8000,1041
98.9000,1041
99.0000,1041
99.0000,1041
99.0100,1041
99.0200,1041
99.0300,1041
99.0400,1041
99.0500,1041
99.0600,1041
99.0700,1041
99.0800,1041
99.0900,1041
99.1000,1041
99.1100,1041
99.1200,1041
99.1300,1041
99.1400,1041
99.1500,1041
99.1600,1041
99.1700,1041
99.1800,1041
99.1900,1041
99.2000,1041
99.2100,1041
99.2200,1041
99.2300,1041
99.2400,1041
99.2500,1041
99.2600,1041
99.2700,1041
99.2800,1041
99.2900,1041
99.3000,1041
99.3100,1041
99.3200,1041
99.3300,1041
99.3400,1041
99.3500,1041
99.3600,1041
99.3700,1041
99.3800,1041
99.3900,1041
99.4000,1041
99.4100,1041
99.4200,1083
99.4300,1083
99.4400,1083
99.4500,1083
99.4600,1083
99.4700,1083
99.4800,1083
99.4900,1083
99.5000,1083
99.5100,1083
99.5200,1083
99.5300,1083
99.5400,1083
99.5500,1083
99.5600,1083
99.5700,1083
99.5800,1083
99.5900,1083
99.6000,1083
99.6100,1083
99.6200,1083
99.6300,1083
99.6400,1083
99.6500,1083
99.6600,1083
99.6700,1125
99.6800,1125
99.6900,1125
99.7000,1125
99.7100,1125
99.7200,1125
99.7300,1125
99.7400,1125
99.7500,1125
99.7600,1125
99.7700,1125
99.7800,1125
99.7900,1125
99.8000,1125
99.8100,1125
99.8200,1125
99.8300,1125
99.8400,1125
99.8500,1125
99.8600,1125
99.8700,1125
99.8800,1125
99.8900,1125
99.9000,1166
99.9000,1166
99.9010,1166
99.9020,1166
99.9030,1166
99.9040,1166
99.9050,1166
99.9060,1166
99.9070,1166
99.9080,1166
99.9090,1166
99.9100,1166
99.9110,1166
99.9120,1166
99.9130,1166
99.9140,1166
99.9150,1166
99.9160,1166
99.9170,1166
99.9180,1166
99.9190,1166
99.9200,1166
99.9210,1166
99.9220,1166
99.9230,1166
99.9240,1166
99.9250,1166
99.9260,1166
99.9270,1166
99.9280,1166
99.9290,1166
99.9300,1166
99.9310,1166
99.9320,1166
99.9330,1166
99.9340,1166
99.9350,1166
99.9360,1166
99.9370,1166
99.9380,1166
99.9390,1166
99.9400,1166
99.9410,1166
99.9420,1166
99.9430,1166
99.9440,1166
99.9450,1166
99.9460,1166
99.9470,1166
99.9480,1166
99.9490,1166
99.9500,1166
99.9510,1166
99.9520,1166
99.9530,1166
99.9540,1166
99.9550,1166
99.9560,1166
99.9570,1166
99.9580,1166
99.9590,1166
99.9600,1166
99.9610,1166
99.9620,1166
99.9630,1166
99.9640,1166
99.9650,1166
99.9660,1166
99.9670,1166
99.9680,1166
99.9690,1166
99.9700,1166
99.9710,1166
99.9720,1208
99.9730,1208
99.9740,1208
99.9750,1208
99.9760,1458
99.9770,1458
99.9780,1625
99.9790,1625
99.9800,1625
99.9810,1625
99.9820,1625
99.9830,1625
99.9840,1750
99.9850,1750
99.9860,2250
99.9870,2250
99.9880,2666
99.9890,2666
99.9900,2708
99.9990,8458
100.0000,9083
