percentile,latency_ns
0.0000,0
1.0000,0
2.0000,0
3.0000,0
4.0000,0
5.0000,0
6.0000,0
7.0000,0
8.0000,0
9.0000,41
10.0000,41
11.0000,41
12.0000,41
13.0000,41
14.0000,41
15.0000,41
16.0000,41
17.0000,41
18.0000,41
19.0000,41
20.0000,41
21.0000,41
22.0000,41
23.0000,41
24.0000,41
25.0000,41
26.0000,41
27.0000,41
28.0000,41
29.0000,41
30.0000,41
31.0000,41
32.0000,41
33.0000,41
34.0000,41
35.0000,41
36.0000,41
37.0000,41
38.0000,41
39.0000,41
40.0000,41
41.0000,41
42.0000,41
43.0000,41
44.0000,41
45.0000,41
46.0000,41
47.0000,41
48.0000,41
49.0000,41
50.0000,41
51.0000,41
52.0000,41
53.0000,41
54.0000,41
55.0000,41
56.0000,41
57.0000,41
58.0000,41
59.0000,41
60.0000,41
61.0000,41
62.0000,41
63.0000,41
64.0000,41
65.0000,41
66.0000,41
67.0000,41
68.0000,41
69.0000,41
70.0000,41
71.0000,41
72.0000,41
73.0000,41
74.0000,41
75.0000,83
76.0000,83
77.0000,83
78.0000,83
79.0000,83
80.0000,83
81.0000,83
82.0000,83
83.0000,83
84.0000,83
85.0000,83
86.0000,125
87.0000,125
88.0000,125
89.0000,125
90.0000,125
90.0000,125
90.1000,125
90.2000,125
90.3000,125
90.4000,125
90.5000,125
90.6000,125
90.7000,125
90.8000,125
90.9000,125
91.0000,125
91.1000,125
91.2000,125
91.3000,125
91.4000,125
91.5000,125
91.6000,125
91.7000,125
91.8000,125
91.9000,125
92.0000,125
92.1000,125
92.2000,125
92.3000,125
92.4000,125
92.5000,125
92.6000,125
92.7000,125
92.8000,125
92.9000,125
93.0000,125
93.1000,125
93.2000,125
93.3000,125
93.4000,125
93.5000,125
93.6000,125
93.7000,125
93.8000,125
93.9000,125
94.0000,125
94.1000,125
94.2000,125
94.3000,125
94.4000,125
94.5000,125
94.6000,125
94.7000,125
94.8000,125
94.9000,125
95.0000,125
95.1000,125
95.2000,125
95.3000,125
95.4000,125
95.5000,125
95.6000,125
95.7000,125
95.8000,125
95.9000,125
96.0000,125
96.1000,125
96.2000,125
96.3000,125
96.4000,125
96.5000,125
96.6000,125
96.7000,125
96.8000,125
96.9000,125
97.0000,125
97.1000,125
97.2000,125
97.3000,125
97.4000,125
97.5000,125
97.6000,125
97.7000,125
97.8000,125
97.9000,125
98.0000,125
98.1000,125
98.2000,125
98.3000,125
98.4000,125
98.5000,125
98.6000,125
98.7000,166
98.8000,166
98.9000,166
99.0000,166
99.0000,166
99.0100,166
99.0200,166
99.0300,166
99.0400,166
99.0500,166
99.0600,166
99.0700,166
99.0800,166
99.0900,166
99.1000,166
99.1100,166
99.1200,166
99.1300,166
99.1400,166
99.1500,166
99.1600,166
99.1700,166
99.1800,166
99.1900,166
99.2000,166
99.2100,166
99.2200,166
99.2300,166
99.2400,166
99.2500,166
99.2600,166
99.2700,166
99.2800,166
99.2900,166
99.3000,166
99.3100,166
99.3200,166
99.3300,166
99.3400,166
99.3500,166
99.3600,166
99.3700,208
99.3800,208
99.3900,208
99.4000,208
99.4100,208
99.4200,208
99.4300,208
99.4400,208
99.4500,208
99.4600,208
99.4700,208
99.4800,250
99.4900,250
99.5000,250
99.5100,291
99.5200,291
99.5300,291
99.5400,333
99.5500,375
99.5600,458
99.5700,541
99.5800,666
99.5900,666
99.6000,708
99.6100,708
99.6200,708
99.6300,750
99.6400,750
99.6500,750
99.6600,791
99.6700,791
99.6800,791
99.6900,791
99.7000,791
99.7100,791
99.7200,791
99.7300,833
99.7400,833
99.7500,833
99.7600,833
99.7700,833
99.7800,833
99.7900,875
99.8000,875
99.8100,875
99.8200,875
99.8300,875
99.8400,916
99.8500,916
99.8600,916
99.8700,958
99.8800,958
99.8900,1000
99.9000,1000
99.9000,1000
99.9010,1000
99.9020,1000
99.9030,1000
99.9040,1000
99.9050,1000
99.9060,1041
99.9070,1041
99.9080,1041
99.9090,1041
99.9100,1041
99.9110,1041
99.9120,1041
99.9130,1041
99.9140,1041
99.9150,1041
99.9160,1041
99.9170,1083
99.9180,1083
99.9190,1083
99.9200,1083
99.9210,1083
99.9220,1083
99.9230,1083
99.9240,1083
99.9250,1125
99.9260,1125
99.9270,1125
99.9280,1125
99.9290,1125
99.9300,1125
99.9310,1166
99.9320,1166
99.9330,1166
99.9340,1166
99.9350,1208
99.9360,1208
99.9370,1208
99.9380,1208
99.9390,1250
99.9400,1250
99.9410,1291
99.9420,1291
99.9430,1291
99.9440,1333
99.9450,1333
99.9460,1333
99.9470,1333
99.9480,1333
99.9490,1375
99.9500,1375
99.9510,1375
99.9520,1375
99.9530,1416
99.9540,1416
99.9550,1416
99.9560,1416
99.9570,1458
99.9580,1458
99.9590,1458
99.9600,1458
99.9610,1458
99.9620,1458
99.9630,1458
99.9640,1500
99.9650,1541
99.9660,1583
99.9670,1583
99.9680,1583
99.9690,1625
99.9700,1625
99.9710,1666
99.9720,1708
99.9730,1750
99.9740,1833
99.9750,1833
99.9760,1916
99.9770,1916
99.9780,2041
99.9790,2166
99.9800,2625
99.9810,2666
99.9820,2958
99.9830,3458
99.9840,3666
99.9850,3916
99.9860,5416
99.9870,6583
99.9880,8791
99.9890,9416
99.9900,11875
99.9990,162791
100.0000,423000
