percentile,latency_ns
0.0000,0
1.0000,41
2.0000,41
3.0000,41
4.0000,41
5.0000,41
6.0000,41
7.0000,41
8.0000,41
9.0000,41
10.0000,41
11.0000,41
12.0000,41
13.0000,41
14.0000,41
15.0000,41
16.0000,41
17.0000,41
18.0000,41
19.0000,41
20.0000,41
21.0000,41
22.0000,41
23.0000,41
24.0000,41
25.0000,41
26.0000,41
27.0000,41
28.0000,41
29.0000,41
30.0000,41
31.0000,41
32.0000,41
33.0000,41
34.0000,41
35.0000,41
36.0000,41
37.0000,41
38.0000,41
39.0000,41
40.0000,41
41.0000,41
42.0000,41
43.0000,41
44.0000,41
45.0000,41
46.0000,41
47.0000,41
48.0000,41
49.0000,41
50.0000,41
51.0000,41
52.0000,41
53.0000,41
54.0000,41
55.0000,41
56.0000,41
57.0000,41
58.0000,41
59.0000,41
60.0000,41
61.0000,41
62.0000,41
63.0000,41
64.0000,41
65.0000,41
66.0000,41
67.0000,83
68.0000,83
69.0000,83
70.0000,83
71.0000,83
72.0000,83
73.0000,83
74.0000,83
75.0000,83
76.0000,83
77.0000,83
78.0000,83
79.0000,83
80.0000,83
81.0000,83
82.0000,83
83.0000,83
84.0000,83
85.0000,83
86.0000,83
87.0000,83
88.0000,83
89.0000,83
90.0000,83
90.0000,83
90.1000,83
90.2000,83
90.3000,83
90.4000,83
90.5000,83
90.6000,83
90.7000,83
90.8000,83
90.9000,83
91.0000,83
91.1000,83
91.2000,83
91.3000,83
91.4000,83
91.5000,83
91.6000,83
91.7000,83
91.8000,83
91.9000,83
92.0000,83
92.1000,83
92.2000,83
92.3000,83
92.4000,83
92.5000,83
92.6000,83
92.7000,83
92.8000,83
92.9000,83
93.0000,83
93.1000,83
93.2000,83
93.3000,83
93.4000,83
93.5000,83
93.6000,83
93.7000,83
93.8000,83
93.9000,83
94.0000,83
94.1000,83
94.2000,83
94.3000,83
94.4000,83
94.5000,83
94.6000,83
94.7000,83
94.8000,83
94.9000,83
95.0000,83
95.1000,83
95.2000,83
95.3000,83
95.4000,83
95.5000,83
95.6000,83
95.7000,83
95.8000,83
95.9000,83
96.0000,83
96.1000,83
96.2000,83
96.3000,83
96.4000,83
96.5000,83
96.6000,83
96.7000,83
96.8000,83
96.9000,83
97.0000,83
97.1000,83
97.2000,83
97.3000,83
97.4000,83
97.5000,83
97.6000,83
97.7000,83
97.8000,83
97.9000,83
98.0000,83
98.1000,83
98.2000,83
98.3000,125
98.4000,125
98.5000,125
98.6000,125
98.7000,125
98.8000,125
98.9000,125
99.0000,125
99.0000,125
99.0100,125
99.0200,125
99.0300,125
99.0400,125
99.0500,125
99.0600,125
99.0700,125
99.0800,125
99.0900,125
99.1000,125
99.1100,125
99.1200,125
99.1300,125
99.1400,125
99.1500,125
99.1600,125
99.1700,125
99.1800,125
99.1900,125
99.2000,125
99.2100,125
99.2200,125
99.2300,125
99.2400,125
99.2500,125
99.2600,125
99.2700,125
99.2800,125
99.2900,125
99.3000,125
99.3100,125
99.3200,125
99.3300,125
99.3400,125
99.3500,125
99.3600,125
99.3700,125
99.3800,125
99.3900,125
99.4000,125
99.4100,125
99.4200,125
99.4300,125
99.4400,166
99.4500,166
99.4600,166
99.4700,166
99.4800,166
99.4900,166
99.5000,166
99.5100,166
99.5200,166
99.5300,166
99.5400,166
99.5500,166
99.5600,166
99.5700,208
99.5800,208
99.5900,208
99.6000,208
99.6100,208
99.6200,250
99.6300,250
99.6400,458
99.6500,458
99.6600,458
99.6700,500
99.6800,500
99.6900,541
99.7000,583
99.7100,583
99.7200,625
99.7300,666
99.7400,666
99.7500,666
99.7600,708
99.7700,708
99.7800,708
99.7900,750
99.8000,750
99.8100,750
99.8200,791
99.8300,791
99.8400,791
99.8500,833
99.8600,833
99.8700,833
99.8800,875
99.8900,875
99.9000,916
99.9000,916
99.9010,916
99.9020,916
99.9030,916
99.9040,916
99.9050,916
99.9060,916
99.9070,916
99.9080,916
99.9090,916
99.9100,916
99.9110,958
99.9120,958
99.9130,958
99.9140,958
99.9150,958
99.9160,958
99.9170,958
99.9180,958
99.9190,958
99.9200,958
99.9210,958
99.9220,958
99.9230,958
99.9240,958
99.9250,958
99.9260,1000
99.9270,1000
99.9280,1000
99.9290,1000
99.9300,1000
99.9310,1000
99.9320,1000
99.9330,1000
99.9340,1000
99.9350,1000
99.9360,1000
99.9370,1000
99.9380,1000
99.9390,1000
99.9400,1000
99.9410,1041
99.9420,1041
99.9430,1041
99.9440,1041
99.9450,1041
99.9460,1041
99.9470,1041
99.9480,1083
99.9490,1083
99.9500,1083
99.9510,1083
99.9520,1083
99.9530,1083
99.9540,1125
99.9550,1125
99.9560,1125
99.9570,1125
99.9580,1125
99.9590,1125
99.9600,1166
99.9610,1166
99.9620,1166
99.9630,1166
99.9640,1166
99.9650,1208
99.9660,1250
99.9670,1250
99.9680,1291
99.9690,1333
99.9700,1333
99.9710,1375
99.9720,1416
99.9730,1458
99.9740,1500
99.9750,1500
99.9760,1500
99.9770,1541
99.9780,1583
99.9790,1625
99.9800,1791
99.9810,1916
99.9820,2208
99.9830,3916
99.9840,4208
99.9850,4291
99.9860,4750
99.9870,4875
99.9880,5375
99.9890,5791
99.9900,7333
99.9990,330291
100.0000,354791
